fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.5,0.18,0.33,1.4,29,35.0,138.0,0.99114,3.36,0.6,11.5,7
7.6,0.31,0.27,5.8,36,23.0,109.0,0.99399,3.34,0.54,11.0,6
8.3,0.27,0.39,2.4,58,16.0,107.0,0.9955,3.28,0.59,10.3,5
6.9,0.29,0.23,8.6,56,56.0,215.0,0.9967,3.17,0.44,8.8,5
6.2,0.2,0.31,1.0,31,22.0,73.0,0.99035,3.24,0.52,11.3,6
6.8,0.19,0.33,1.3,31,22.0,87.0,0.98987,3.08,0.62,12.3,7
7.8,0.49,0.49,7.0,43,29.0,149.0,0.9952,3.21,0.33,10.0,5
6.0,0.33,0.27,0.8,185,12.0,188.0,0.9924,3.12,0.62,9.4,5
6.4,0.27,0.45,8.3,0.05,52.0,196.0,0.9955,3.18,0.48,9.5,5
8.1,0.43,0.42,6.6,33,36.0,141.0,0.9918,2.98,0.39,13.3,7
4.7,0.67,0.09,1.0,0.02,5.0,9.0,0.98722,3.3,0.34,13.6,5
6.9,615,0.42,12.0,67,24.0,131.0,0.99727,3.19,0.34,9.3,5
7.4,0.16,0.3,13.7,56,33.0,168.0,0.99825,2.9,0.44,8.7,7
7.1,0.21,0.35,2.5,0.04,41.0,186.0,0.99128,3.32,0.56,12.5,6
5.4,0.5,0.13,5.0,28,12.0,107.0,0.99079,3.48,0.88,13.5,7
6.6,0.26,0.28,9.4,28,13.0,121.0,0.99254,3.17,0.34,12.1,6
5.3,275,0.24,7.4,38,28.0,114.0,0.99313,3.38,0.51,11.0,6
6.8,0.18,0.3,12.8,62,19.0,171.0,0.99808,3.0,0.52,9.0,7
7.4,0.32,0.22,1.7,51,50.0,179.0,0.9955,3.28,0.69,8.9,5
6.1,0.22,0.4,1.85,31,25.0,111.0,0.98966,3.03,0.3,11.8,7
5.6,0.34,0.1,1.3,31,20.0,68.0,0.9906,3.36,0.51,11.2,7
6.4,0.24,0.23,2.0,46,30.0,133.0,0.9908,3.12,0.54,11.4,7
6.5,0.38,0.34,3.4,36,34.0,200.0,0.9937,3.14,0.76,10.0,5
6.7,0.24,0.36,8.4,42,42.0,123.0,0.99473,3.34,0.52,10.9,6
6.3,0.23,0.22,17.45,54,42.0,151.0,0.99853,3.12,0.6,9.3,6
7.9,0.25,0.29,5.3,31,33.0,117.0,0.9918,3.06,0.32,11.8,7
7.2,0.16,0.35,1.2,31,27.0,84.0,0.9928,3.33,0.34,9.9,5
6.2,0.28,0.57,1.0,43,50.0,92.0,0.99004,3.17,0.36,11.5,6
6.7,0.23,0.31,2.1,46,30.0,96.0,0.9926,3.33,0.64,10.7,8
5.7,0.22,0.25,1.1,0.05,97.0,175.0,0.99099,3.44,0.62,11.1,6
7.1,0.2,0.27,9.6,37,19.0,105.0,0.99444,3.04,0.37,10.5,7
7.2,0.19,0.31,6.3,34,17.0,103.0,0.99305,3.15,0.52,11.4,7
6.9,0.25,0.24,1.8,53,6.0,121.0,993,3.23,0.7,11.4,5
6.0,0.28,0.27,15.5,36,31.0,134.0,0.99408,3.19,0.44,13.0,7
7.3,0.31,0.25,6.65,32,30.0,138.0,0.99244,2.9,0.37,11.1,5
6.0,0.29,0.41,10.8,48,55.0,149.0,0.9937,3.09,0.59,10.9666666666667,7
6.8,0.21,0.55,14.6,53,34.0,159.0,0.99805,2.93,0.44,9.2,5
7.1,0.25,0.28,1.2,0.04,31.0,111.0,0.99174,3.18,0.53,11.1,5
6.5,0.33,0.32,1.0,41,39.0,120.0,0.99004,3.06,0.37,12.2,6
6.6,905,0.19,0.8,48,17.0,204.0,0.9934,3.34,0.56,10.0,5
7.2,0.21,0.34,1.1,46,25.0,80.0,992,3.25,0.4,11.3,6
7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,5
6.0,0.19,0.29,1.1,47,67.0,152.0,0.9916,3.54,0.59,11.1,7
7.3,0.15,0.4,2.0,0.05,24.0,92.0,0.9932,3.14,0.45,10.5,5
5.3,0.33,0.3,1.2,48,25.0,119.0,0.99045,3.32,0.62,11.3,6
7.2,0.27,0.46,18.75,52,45.0,255.0,1.0,3.04,0.52,8.9,5
8.1,0.29,0.49,7.1,42,22.0,124.0,0.9944,3.14,0.41,10.8,6
7.0,0.35,0.17,1.1,49,7.0,119.0,0.99297,3.13,0.36,9.7,6
7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,5
5.8,0.23,0.31,4.5,46,42.0,124.0,0.99324,3.31,0.64,10.8,6
6.3,0.67,0.48,12.6,52,57.0,222.0,0.9979,3.17,0.52,9.3,6
7.6,0.3,0.27,10.6,39,31.0,119.0,0.99815,3.27,0.3,9.3,6
7.2,0.25,0.28,14.4,55,55.0,205.0,0.9986,3.12,0.38,9.0,7
8.3,0.21,0.58,17.1,49,62.0,213.0,1.0006,3.01,0.51,9.3,6
6.1,0.6,0.12,1.8,0.05,11.0,76.0,0.99268,3.42,0.48,10.4,4
6.4,0.23,0.35,4.6,39,43.0,147.0,0.99216,3.18,0.4,11.0,7
7.2,0.27,0.31,1.2,31,27.0,80.0,0.98892,3.03,0.33,12.7,6
8.0,0.34,0.25,6.4,35,38.0,103.0,0.99148,2.91,0.23,12.2,6
7.0,0.57,0.1,8.3,94,23.0,188.0,0.9972,3.4,0.47,9.2,4
6.8,0.21,0.26,11.7,38,61.0,152.0,0.99523,3.02,0.56,10.5,7
6.2,255,0.24,1.7,39,138.5,272.0,0.99452,3.53,0.53,9.6,4
6.5,0.28,0.34,3.6,0.04,29.0,121.0,0.99111,3.28,0.48,12.1,7
5.3,585,0.07,7.1,44,34.0,145.0,0.9945,3.34,0.57,9.7,6
6.4,475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5
6.5,0.23,0.36,16.3,38,43.0,133.0,0.99924,3.26,0.41,8.8,5
7.2,0.15,0.33,1.1,27,16.0,63.0,0.9937,3.37,0.4,9.9,5
5.9,0.3,0.47,7.85,0.03,19.0,133.0,0.9933,3.52,0.43,11.5,7
6.5,0.19,0.27,4.9,37,13.0,101.0,0.9916,3.17,0.41,11.8,6
6.9,0.27,0.41,1.7,47,6.0,134.0,0.9929,3.15,0.69,11.4,6
6.1,0.32,0.33,10.7,36,27.0,98.0,0.99521,3.34,0.52,10.2,6
7.0,0.26,0.26,10.8,39,37.0,184.0,0.99787,3.47,0.58,10.3,7
6.9,0.38,0.29,13.65,48,52.0,189.0,0.99784,3.0,0.6,9.5,6
6.9,0.23,0.35,6.9,0.03,45.0,116.0,0.99244,2.8,0.54,11.0,6
7.0,0.3,0.28,2.2,42,21.0,177.0,0.99166,3.2,0.57,11.4,5
7.6,345,0.26,1.9,43,15.0,134.0,0.9936,3.08,0.38,9.5,5
6.4,0.46,0.22,14.7,47,51.0,183.0,0.998275,3.39,0.6,10.5,5
6.2,0.18,0.3,1.0,31,23.0,73.0,0.99032,3.23,0.52,11.3,6
8.2,0.37,0.27,1.7,28,10.0,59.0,0.9923,2.97,0.48,10.4,5
8.9,0.27,0.34,10.7,29,19.5,166.0,0.99669,3.13,0.48,10.6,5
6.6,0.25,0.35,14.0,69,42.0,163.0,999,3.56,0.47,9.8,5
7.2,0.24,0.3,1.2,37,11.0,95.0,0.98914,2.96,0.36,12.5,6
6.2,0.28,0.22,7.3,41,26.0,157.0,0.9957,3.44,0.64,9.8,7
5.8,0.3,0.42,1.1,36,19.0,113.0,0.98871,3.1,0.46,12.6,7
6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.9927,3.11,0.27,11.4,6
6.7,0.3,0.5,12.1,45,38.0,127.0,0.9974,3.04,0.53,8.9,6
6.9,0.15,0.29,2.3,33,14.0,82.0,0.99132,3.1,0.58,11.2,7
6.3,0.41,0.3,3.2,0.03,49.0,164.0,0.9927,3.53,0.79,11.7,7
8.6,0.26,0.41,2.2,49,29.0,111.0,0.9941,2.96,0.44,10.0,5
8.2,0.18,0.28,8.5,35,41.0,140.0,0.9952,3.04,0.37,10.1,7
6.9,0.44,0.27,5.0,38,33.0,166.0,0.99124,3.2,0.42,12.2,6
5.6,0.19,0.39,1.1,43,17.0,67.0,0.9918,3.23,0.53,10.3,6
5.5,0.14,0.27,4.6,29,22.0,104.0,0.9949,3.34,0.44,9.0,5
8.1,0.12,0.38,0.9,34,36.0,86.0,0.99026,2.8,0.55,12.0,6
